CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,CONSTRUCTION_AGE_BAND,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT
57,80,House,Mid-Terrace,50,76,355,164,4.3,63,2,47,47,811,581,105,70,68,Single,Y,NODATA!,,,2106,0,not defined,Normal,1,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.54,,N,natural,England and Wales: 1900-1929,,
62,78,Bungalow,End-Terrace,61,76,301,179,2.8,53,1.7,49,38,576,578,94,61,54,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,71,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 71% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.3,,N,natural,England and Wales: 1983-1990,,
64,73,Flat,End-Terrace,68,67,302,308,2.3,45,2.4,50,27,253,186,128,128,50.87,Unknown,N,2nd,Y,3,2603,100,double glazing installed during or after 2002,Normal,0,3,3,18,0,"Electric immersion, off-peak",Very Good,Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 18% of fixed outlets,Poor,Poor,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,8.45,2.35,0,N,"mechanical, extract only",England and Wales: 2003-2006,,
67,76,House,End-Terrace,61,72,262,187,3.8,44,2.7,69,45,519,408,159,113,86.626,Single,Y,NO DATA!,,,2104,100,double glazing installed during or after 2002,Normal,0,5,5,45,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 45% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1950-1966,,
58,63,House,End-Terrace,51,56,362,324,4.3,61,3.8,51,32,541,505,84,73,81.3,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,38,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 300+ mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 38% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 1950-1966,,
66,84,House,Mid-Terrace,67,85,293,131,2.1,51,0.9,41,30,423,424,83,52,40,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,60,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 60% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.6,,N,natural,England and Wales: 1900-1929,,
74,88,Bungalow,Semi-Detached,75,89,182,80,2.1,32,0.9,62,49,386,389,104,68,65,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,71,0,From main system,Good,Good,"Solid, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 71% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.5,,N,natural,England and Wales: 2007 onwards,,
71,74,Flat,Detached,73,77,239,205,1.8,42,1.5,31,31,345,312,97,80,42,Single,Y,1st,Y,,2106,100,double glazing installed before 2002,Normal,0,2,2,100,0,From main system,Good,Good,(another dwelling below),NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,no corridor,,2.4,,N,"mechanical, extract only",England and Wales: 1967-1975,,
63,74,House,Semi-Detached,56,70,323,219,3.7,54,2.5,49,30,401,322,147,83,68.32,Single,Y,NO DATA!,,,2104,100,double glazing installed before 2002,Normal,0,5,5,40,0,"From main system, no cylinderstat",Average,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.5,0,N,natural,England and Wales: 1930-1949,,
72,77,Flat,NO DATA!,74,80,193,148,1.8,37,1.4,28,28,260,230,133,95,47.75,Unknown,Y,1st,N,,2104,100,double glazing installed before 2002,Normal,0,2,2,100,0,From main system,Average,Average,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,no corridor,,2.32,0,,natural,England and Wales: 1991-1995,6,6
80,83,Flat,Semi-Detached,78,81,191,165,1.6,32,1.3,42,23,209,192,65,65,49,Unknown,Y,1st,Y,2,2106,100,"double glazing, unknown install date",Normal,0,2,2,20,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.4,0,N,natural,England and Wales: 1983-1990,,
52,61,House,Mid-Terrace,46,54,381,312,5.5,63.7,4.5,78,39,678,582,92,80,86.5,Single,Y,NO DATA!,,,2106,100,"double glazing, unknown install date",Normal,2,4,4,0,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.8,0,N,natural,England and Wales: 1900-1929,,
55,69,House,Detached,49,64,381,263,4.6,64,3.2,57,33,423,324,240,170,72.46,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,25,0,"From main system, no cylinderstat",Poor,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.44,0,N,natural,England and Wales: 1976-1982,,
38,86,House,End-Terrace,31,73,513,169,8.4,91,2.9,84,60,1610,1114,118,79,93,Single,Y,NODATA!,,,2104,100,double glazing installed during or after 2002,Normal,1,5,5,59,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 59% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.52,,N,natural,England and Wales: 1950-1966,,
80,81,House,Detached,77,79,114,107,6.5,19,6.1,163,163,659,630,193,169,368.52,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,9,9,100,0,"From main system, no cylinderstat",Average,Average,"Solid, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Roof room(s), insulated",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.6,0,N,natural,England and Wales: 2007 onwards,,
78,78,Flat,Detached,78,79,161,153,1.8,28,1.7,53,53,218,222,173,154,66,dual,N,1st,N,,2301,100,double glazing installed during or after 2002,Normal,0,4,4,100,0,"Electric immersion, off-peak",Average,Poor,(another dwelling below),NO DATA!,N/A,Fully double glazed,Good,Good,"System built, with external insulation",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,Community scheme,Good,Good,"Flat rate charging, no thermostatic control of room temperature",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (community),0,heated corridor,,2.5,,N,natural,England and Wales: 1950-1966,,
67,79,House,Semi-Detached,62,77,277,170,3.3,46,2,72,38,406,280,134,97,71.15,Single,Y,1st,Y,2,2104,100,double glazing installed before 2002,Normal,0,3,3,10,0,From main system,Average,Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,unheated corridor,5.4,2.5,0,N,natural,England and Wales: 1983-1990,,
73,73,Flat,NO DATA!,79,79,151,151,1.6,27,1.6,35,35,242,242,0,0,58.68,dual,Y,5th,N,,2303,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Poor,Very Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"System built, with external insulation",Good,Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,Community scheme,Good,Good,"Flat rate charging, room thermostat only",Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (community),0,heated corridor,,2.3,0,,natural,England and Wales: 1950-1966,7,7
76,76,Flat,NO DATA!,81,81,158,158,1.2,30,1.2,24,24,250,250,62,62,39.18,Single,Y,1st,Y,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,no corridor,,2.4,0,,natural,England and Wales: 1900-1929,6,6
76,76,Bungalow,Semi-Detached,79,79,142,142,1.6,27,1.6,40,40,285,285,74,74,57.96,Single,Y,NODATA!,,,2105,100,double glazing installed during or after 2002,Normal,0,3,3,86,0,From main system,Good,Good,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and at least two room thermostats,Good,Good,Low energy lighting in 86% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.33,0,,natural,England and Wales: 2007 onwards,7,6
78,78,House,Mid-Terrace,77,77,156,156,2.2,25.7,2.2,42,42,360,360,95,95,84.8,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,100,0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 1967-1975,,
74,77,Flat,End-Terrace,77,80,166,143,1.7,32,1.5,55,30,284,273,77,69,53.3,Single,Y,1st,Y,,2106,100,"double glazing, unknown install date",Normal,0,2,2,17,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 17% of fixed outlets,Poor,Poor,mains gas (not community),0,no corridor,,2.32,0,,natural,England and Wales: 1967-1975,6,1
63,86,House,Mid-Terrace,63,87,292,97,2.9,51,1,67,40,547,416,110,59,56,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,2,2,30,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, electric",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1976-1982,,
